Respondent ID,What is your role?  , What type of institution are you affiliated with? ,where is your educational institution located?,Which attendance method is currently used in your institution? ,How satisfied are you with the current system? ,What is your ideal method for taking attendance?,What is the maximum acceptable time for a check-in process? ,How comfortable are you with using facial recognition for attendance? ,How important is it to validate a student’s location (via GPS) before allowing check-in? ,Should the app allow instructors to override check-ins in case of technical errors? ,How will you like to be notified?,What would you want to be notified about?, How concerned are you about the storage of facial recognition data? ,How comfortable are u with the app notifying  parents about  attendance? ,Any reasons?,"Do you have any suggestions, comments, or concerns about the proposed system? ",What are the main issues with your current attendance system? : Human errors in recording,What are the main issues with your current attendance system? : Time-consuming process,What are the main issues with your current attendance system? : All of the above,What are the main issues with your current attendance system? : Lack of automation,What are the main issues with your current attendance system? : Impersonation,What are the main issues with your current attendance system? : Delayed access to attendance records,What are the main issues with your current attendance system? : Lack of real-time updates,Which of the following features are important for an ideal attendance system : All,Which of the following features are important for an ideal attendance system : Instant access to attendance records for students/instructors,Which of the following features are important for an ideal attendance system : Geofencing to restrict check-in to classroom boundaries,Which of the following features are important for an ideal attendance system : Facial recognition for identity verification,Which of the following features are important for an ideal attendance system : Real-time attendance tracking,Which of the following features are important for an ideal attendance system : Integration with course schedules (filtering by date/course),What security measures are most critical for this system? : If possible implement multiple factor authentication,What security measures are most critical for this system? : Regular data deletion policies,What security measures are most critical for this system? : All of the above,What security measures are most critical for this system? : Encrypted biometric data storage,What security measures are most critical for this system? : User consent for data usage,What security measures are most critical for this system? : Anonymous location tracking,What security measures are most critical for this system? : Two-factor authentication for instructors,Comment Category
R001,Student,College,Buea,Manual sign-in sheets,3,Manual writing of names,≤5 seconds,4,3,Yes,Pop-up notifications,Class,3,4,For parents to be aware with thier childs doings,Nope,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No Concern
R002,Student,University,Buea,Manual sign-in sheets,1,Biometric recognosion. it's both fast and reliable,≤5 seconds,4,3,Yes,Sms,Presence successfuly recorded,3,1,I just don't feel it necessary letting my parents know about my every whereabouts much less school,None so far,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No Concern
R003,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,4,4,No,In-app notifications,Attendance updates and reminders,3,3,No answer,No answer,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No Concern
R004,Student,University,Buea,Manual sign-in sheets,3,Using an rfid card to signin.,≤5 seconds,3,5,Yes,In-app notifications,"My attendance, changes in class venues and more",3,3,No,It is a good initiative,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,General Feedback
R005,Student,University,Buea,Manual sign-in sheets,5,Manual sign in sheets,≤10 seconds,1,Not important,Yes,Pop-up notifications,Attendance status,1,1,Privacy,I do not find it appropriate,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R006,Student,University,Buea,Teacher calls out names,3,No answer,≤10 seconds,4,4,Yes,Pop-up notifications;email,In case there is a system error concerning my attendance i want to be notified when it has been resolved,3,5,It will make accountable and more responsible,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No Concern
R007,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,1,Not important,Yes,In-app notifications,No answer,2,1,No answer,No answer,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No Concern
R008,Student,University,Buea,Manual sign-in sheets,3,No answer,≤5 seconds,4,5,No,Pop-up notifications,"Classes missed,timetables",2,2,No answer,No answer,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No Concern
R009,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,3,3,Not sure,Pop-up notifications,No answer,1,1,No answer,No answer,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No Concern
R010,Student,University,Buea,Manual sign-in sheets,3,Online registration with a uniqque code which is assihned to any registered student that is valid for the length of the course only.,15 seconds,3,3,Yes,Pop-up notifications;in-app notifications,Attendance of each course,3,3,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,General Feedback
