"Timestamp","What is your role?  "," What type of institution are you affiliated with? ","where is your educational institution located?","Which attendance method is currently used in your institution? ","How satisfied are you with the current system? ","What are the main issues with your current attendance system? ","What is your ideal method for taking attendance?","Which of the following features are important for an ideal attendance system ","What is the maximum acceptable time for a check-in process? ","How comfortable are you with using facial recognition for attendance? ","How important is it to validate a student’s location (via GPS) before allowing check-in? ","Should the app allow instructors to override check-ins in case of technical errors? ","How will you like to be notified?","What would you want to be notified about?"," How concerned are you about the storage of facial recognition data? ","What security measures are most critical for this system? ","How comfortable are u with the app notifying  parents about  attendance? ","Any reasons?","Do you have any suggestions, comments, or concerns about the proposed system? "
"2025/04/12 2:50:51 am CET","Student","College","Buea","Manual sign-in sheets","Neutral","Time-consuming process;impersonation;Delayed access to attendance records;Human errors in recording","Manual writing of names","Facial recognition for identity verification","≤5 seconds","Comfortable","Neutral","Yes","Pop-Up notifications","Class","Neutral","Two-factor authentication for instructors;User consent for data usage","Comfortable","For parents to be aware with thier childs doings ","Nope"
"2025/04/12 2:52:21 am CET","Student","University","Buea","Manual sign-in sheets","Very Dissatisfied","Time-consuming process;Delayed access to attendance records;Human errors in recording","Biometric recognosion. It's both fast and reliable","Real-time attendance tracking","≤5 seconds","Comfortable","Slightly Important","Yes","SMS","Presence successfuly recorded","Neutral","Two-factor authentication for instructors","Very Uncomfortable","I just don't feel it necessary letting my parents know about my every whereabouts much less school","None so far"
"2025/04/12 2:53:28 am CET","Student","University","Buea","Manual sign-in sheets","Dissatisfied","All of the above","","Real-time attendance tracking;Instant access to attendance records for students/instructors","≤5 seconds","Comfortable","Important","No","In-app notifications","attendance updates and reminders
","Slightly Concerned","All of the above","Neutral","",""
"2025/04/12 2:54:24 am CET","Student","University","Buea","Manual sign-in sheets","Neutral","Time-consuming process;impersonation;Human errors in recording","Using an RFID card to signin.","Real-time attendance tracking;Geofencing to restrict check-in to classroom boundaries;Instant access to attendance records for students/instructors;Integration with course schedules (filtering by date/course)","≤5 seconds","Neutral","Very Important","Yes","In-app notifications","My attendance, changes in class venues and more","Slightly Concerned","Encrypted biometric data storage;Anonymous location tracking;Two-factor authentication for instructors;User consent for data usage","Neutral","No","It is a good initiative "
"2025/04/12 2:56:20 am CET","Student","University","Buea","Manual sign-in sheets","Very Satisfied","Time-consuming process","manual sign in sheets","Instant access to attendance records for students/instructors","≤10 seconds","Very Uncomfortable","Not Important","Yes","Pop-Up notifications","attendance status","Very Concerned","All of the above","Very Uncomfortable","privacy","i do not find it appropriate"
"2025/04/12 3:03:32 am CET","Student","University","Buea","Teacher calls out names","Neutral","Time-consuming process","","Real-time attendance tracking","≤10 seconds","Comfortable","Important","Yes","Pop-Up notifications;Email","In case there is a system error concerning my attendance I want to be notified when it has been resolved ","Neutral","Encrypted biometric data storage;Two-factor authentication for instructors;Regular data deletion policies","Very Comfortable","It will make accountable and more responsible ",""
"2025/04/12 3:18:53 am CET","Student","University","Buea","Manual sign-in sheets","Dissatisfied","Time-consuming process;Delayed access to attendance records;Human errors in recording","","Real-time attendance tracking","≤5 seconds","Very Uncomfortable","Not Important","Yes","In-app notifications","","Concerned","Encrypted biometric data storage;Two-factor authentication for instructors;User consent for data usage","Very Uncomfortable","",""
"2025/04/12 3:28:47 am CET","Student","University","Buea","Manual sign-in sheets","Neutral","Time-consuming process;impersonation","","Facial recognition for identity verification;Geofencing to restrict check-in to classroom boundaries","≤5 seconds","Comfortable","Very Important","No","Pop-Up notifications","Classes missed,timetables ","Concerned","Encrypted biometric data storage","Uncomfortable","",""
"2025/04/12 3:52:17 am CET","Student","University","Buea","Manual sign-in sheets","Neutral","impersonation","","Facial recognition for identity verification","≤10 seconds","Neutral","Neutral","Not Sure","Pop-Up notifications","","Very Concerned","User consent for data usage","Very Uncomfortable","",""
"2025/04/12 4:37:31 am CET","Student","University","Buea","Manual sign-in sheets","Neutral","Time-consuming process;Delayed access to attendance records;Lack of real-time updates;Lack of automation","Online registration with a uniqque code which is assihned to any registered student that is valid for the length of the course only.","Real-time attendance tracking;Facial recognition for identity verification;Instant access to attendance records for students/instructors;Integration with course schedules (filtering by date/course);All","15","Neutral","Slightly Important","Yes","Pop-Up notifications;In-app notifications","Attendance of each course","Slightly Concerned","Encrypted biometric data storage;Anonymous location tracking;User consent for data usage","Neutral","No","No"
